,Date,Product_id,Quantity,Customer_id,Price,Total
0,14-01-2023,19,7,100539,74,518
1,15-10-2023,15,4,100712,13,52
2,12-04-2023,3,8,100495,13,104
3,29-11-2023,16,5,100733,21,105
4,26-12-2023,15,7,100979,13,91
5,07-10-2023,11,3,100507,21,63
6,03-08-2023,4,7,100486,45,315
7,23-04-2023,16,8,100275,21,168
8,18-08-2023,1,5,100596,91,455
9,29-10-2023,4,4,100411,45,180
10,23-05-2023,13,8,100654,64,512
11,04-01-2023,14,8,100944,14,112
12,23-03-2023,2,3,100810,24,72
13,24-12-2023,18,6,100598,39,234
14,05-08-2023,18,5,100666,39,195
15,24-06-2023,1,2,100038,91,182
16,23-05-2023,3,8,100213,13,104
17,21-03-2023,20,6,100225,87,522
18,21-04-2023,20,2,100917,87,174
19,22-06-2023,10,5,100208,79,395
20,22-02-2023,17,1,100463,37,37
21,17-02-2023,18,6,100884,39,234
22,14-07-2023,7,9,100241,27,243
23,19-02-2023,15,1,100406,13,13
24,03-07-2023,11,3,100224,21,63
25,26-06-2023,12,7,100314,85,595
26,06-11-2023,2,4,100436,24,96
27,16-05-2023,8,9,100911,23,207
28,23-01-2023,15,3,100387,13,39
29,24-08-2023,11,5,100586,21,105
30,02-10-2023,18,3,100161,39,117
31,05-03-2023,20,7,100958,87,609
32,13-07-2023,20,5,100863,87,435
33,10-02-2023,16,9,100384,21,189
34,10-10-2023,12,7,100261,85,595
35,31-05-2023,15,2,100564,13,26
36,18-11-2023,4,4,100087,45,180
37,13-11-2023,4,9,100138,45,405
38,05-07-2023,8,2,100770,23,46
39,23-10-2023,1,9,100087,91,819
40,09-04-2023,11,5,100303,21,105
41,27-12-2023,12,2,100456,85,170
42,05-02-2023,10,4,100532,79,316
43,24-01-2023,18,7,100361,39,273
44,05-12-2023,17,8,100236,37,296
45,27-04-2023,12,3,100598,85,255
46,29-05-2023,4,1,100043,45,45
47,10-02-2023,2,4,100477,24,96
48,30-04-2023,6,2,100525,38,76
49,21-02-2023,16,8,100637,21,168
50,14-07-2023,5,4,100345,41,164
51,23-05-2023,14,2,100437,14,28
52,21-08-2023,4,6,100462,45,270
53,22-11-2023,9,6,100479,96,576
54,06-07-2023,20,4,100443,87,348
55,25-03-2023,7,6,100419,27,162
56,09-07-2023,7,2,100377,27,54
57,01-07-2023,4,2,100824,45,90
58,18-04-2023,13,4,100510,64,256
59,10-12-2023,7,8,100325,27,216
60,17-05-2023,15,7,100280,13,91
61,26-12-2023,7,9,100392,27,243
62,16-12-2023,11,8,100026,21,168
63,28-11-2023,4,5,100184,45,225
64,06-02-2023,14,2,100453,14,28
65,08-11-2023,2,5,100240,24,120
66,22-11-2023,19,8,100272,74,592
67,29-03-2023,4,9,100661,45,405
68,01-10-2023,15,9,100078,13,117
69,06-05-2023,15,1,100368,13,13
70,25-03-2023,19,9,100924,74,666
71,25-08-2023,17,7,100085,37,259
72,14-07-2023,5,9,100302,41,369
73,19-05-2023,16,8,100863,21,168
74,24-11-2023,1,1,100514,91,91
75,19-12-2023,17,8,100526,37,296
76,13-10-2023,2,8,100560,24,192
77,23-04-2023,18,3,100660,39,117
78,17-12-2023,14,1,100081,14,14
79,16-06-2023,19,8,100805,74,592
80,29-01-2023,16,3,100284,21,63
81,28-04-2023,17,3,100949,37,111
